Lang Code	EN	ES	FR	IT	URI	ATTRIBUTE
^satin	Satin	Raso	Satin	"Raso	"		
^tabby	Tabby	Tafetán	Taffetas	Taffetà		
^twill	Twill	Sarga	Sergé	Saia		
^batavia twill	Batavia twill	Sarga Batavia	Batavia	Saia batavia		
^extended tabby	Extended tabby	Acanalado	Cannelé	Cannellato		
^extended tabby (irregular)	Extended tabby (irregular)	Acanalado (Irregular)	Cannelé (irrégulier)	Cannellato (irregolare)		
^groDeTours	Gros De Tours	Gro de Tours	Gros De Tours	Gros De Tours		
^gros_warp	Gros (Warp)	"Gro (Urdimbre) "	Gros (Chaîne)	Gros (Ordito)		
^gros_weft	Gros (Weft)	Gro (Trama)	Gros (Trame)	Gros (Trama)		
^irregular satin (rectangular weave unit)	Irregular satin	Raso irregular	Satin irrégulier	Raso irregolare		
^lousine	Lousine	Luisina	Lousine	Lousine		
^natte	Natté	Natté	Natté	Natté		
^queen satin	Queen satin	Raso reina	"Satin à la reine "	Raso regina		
^regular satin	Regular satin	Raso regular	Satin régulier	Raso regolare		
^rowan twill	Rowan twill	Sarga rowan	Serge de Rome	Saia romana		
^damask / Damassé	Damask / Damassé	Damasco / Adamascado	Damas / Damassé	Damasco / Damascato		
^espolín	Espolín	Espolinado/Espolín	Espoliné / Espolin	Spolinato/ Spolinato		
^espolín with Damassé ground	Espolín with Damassé ground	Espolín con fondo adamascado	Espolin avec fond damassé	Damasco broccato		
^lampas	Lampas	Lampas	Lampas	Lampasso		
^damassé with metallic weft	Damassé with metallic weft	Adamascado con trama metálica	Damassé avec fils de trame métalliques	Damaschello con trama metallica		
^freestyle	FreeStyle	Estilo libre	Style libre	Stile libero		
^damask / Damassé_description	DAMASK: n. From the Anglo-Norman "damasc" and Latin "Damascus" meaning the name of the city. In English language, Damask could refer simply to silk, but the term referred to a weave with two faces, reversible, made from several fibres and colours. Different layouts make the contrast, the warp-float and the weft-float, shaped with same thickness, colour and quality threads. Originally, the term damask indicated procedence from the city of Damascus. DAMASK (DAMASSÉ): A term from the Old French and Middle English dyapre" " 2diapre" among others. A descriptive term for rich woven designs with a simple arrangement of squares and rectangles. Formed with contrasting warp and weft faces.	DAMASCO: Tejido que presenta un efecto de dibujo y otro de fondo, logrado mediante la alternancia de dos tipos de ligamentos, produciéndose un efecto brillante y otro mate, de modo que derecho y revés tengan la misma decoración, pero a la inversa. . Tejido de la ciudad siria de Damasco ADAMASCADO: Prefijo “a” por el latín “ad” cercanía, del sustantivo “damasco” y del sufijo “ado” que indica apariencia o semejanza de tela de seda o también de lana peinada que, a imitación del damasco, forma por su anverso un tejido de punto de raso en el fondo y gro en la muestra, pero su reverso no forma más que un tejido de apariencia de tafetán. Dicho de un tejido parecido al damasco.	DAMAS: Type de tissu dont le nom provient de la capitale syrienne. Son dessin est marqué par un contraste entre des zones brillantes et des zones mates résultant de l'alternance d'un effet de chaîne avec un effet de trame sur une armure généralement satin ou sergé. L'endroit et l'envers présentent le même dessin mais avec des effets inversés. Sa forme la plus simple est constituée d'une seule chaîne et d'une seule trame. DAMASSÉ: Adj. Dérivé de damas. Terme qui désigne les tissus dont l'aspect ressemble à celui des damas.	DAMASCO: s.m. der. città di Damasco.Tessuto di seta  operato caratterizzato da effetti di disegno prodotti da una sola armatura: il raso. Convenzionalmente la faccia ordito del raso viene impiegata per il fondo (lucido), mentre la faccia trama descrive il vero e proprio motivo decorativo con effetti opachi. Al rovescio il tessuto offre la lettura in negativo del tracciato. Proprio per questo è detto tessuto senza rovescio. In questa forma, in cui viene impiegata la sola armatura del raso, prende il nome di damasco classico. DAMASCATO: Damascato (attributo)  agg. der. da Damasco. Tipo di tessuto che impiega filati di natura diversa, in ordito e trama, deriva dal sistema di lavorazione dal damasco classico di seta. I damascati di lino e di cotone sono particolarmente impiegati per tovaglierie. Erano celebri già nel sec. XVI quelli delle Fiandre e del Belgio.		
^espolín_description	A term used in Spanish to significate a type of silk done using little shuttles creating an effect of over woven flowers, similar to those on gold or silk brocades. These fabrics are obtained by weaving in the Jacquard loom.	ESPOLÍN: Del occit. espoulin 'canilla de tejedor', y este del gót. *spôla; cf. a. al. ant. spuolo, islandés spôla.  Tejido elaborado mediante la técnica de brochar o espolinar. Este término es muy empleado en determinadas zonas de España para referirse a los tejidos resultantes de esta técnica.	Espolin: Subst. masc. Terme esp. très utilisé pour désigner les tissus de soie brochés dans certaines régions d'Espagne.	Spolinato: s.m. Der. di spola, spolino. Tipo di broccato le cui trame supplementari che formano il disegno sono limitate al solo disegno, con notevole risparmio dei filati, al contrario del broccato lancé. Si adoperano allo scopo piccole navette chiamate spolini.		
