Lang Code	EN	ES	FR	IT	URI	ATTRIBUTE
^language	LANGUAGE	IDIOMA	LANGUE	LINGUA		
^load_Image	Load Image	Carga de Imagen	Charger une image	Carica un'immagine		
^select	Select	Selecciona	Choisir	Scegliere		
^next	Next	Siguiente	Suivant	Successivo		
^homography	Perspective correction	Corrección de perspectiva	Correction de la perspective	Correzione della prospettiva		
^posterize	Image Processing	Procesado de Imagen	Traitement d'image	Elaborazione di immagiie		
^yarns	Yarns	Hilos	Fil	Filo		
^visualization	Visualization	Visualización	Visualisation	Visualizzazione		
^select the image to work with it in Virtual  Loom.	Select the image to work with it in Virtual  Loom.	Selecciona la imagen con la que trabajar en Virtual Loom.	Sélectionnez l'image avec laquelle travailler dans Virtual Loom.	Seleziona l'immagine per lavorarci con Virtual Loom.		
^select your prefered language.	Select your prefered language.	Selecciona el lenguaje deseado.	Sélectionnez votre langue préférée.	Seleziona la tua lingua preferita.		
^move the handlers to adjust Image perspective.Use aspect slider to change aspect ratio.	Move the handlers to adjust Image perspective.\nUse aspect slider to change aspect ratio.	Mueve los manejadores para ajustar la perspectiva de la imagen.\nDesplaza la barra de la proporción para ajustarla.	Déplacez les gestionnaires pour régler la perspective de l'image. \nUtilisez le curseur d'aspect pour modifier le rapport hauteur / largeur.	Spostare i gestori per regolare la prospettiva dell'immagine. \nUtilizzare il dispositivo di scorrimento per modificare le proporzioni.		
^aspect:	Aspect:	Proporción:	Proportion:	Proporzione:		
^select the technique to posterize the image based on the desired number of clusters.	Select the technique to posterize the image based on the desired number of clusters.	Selecciona la técnica para posterizar la imagen basado en el número de zonas deseadas.	Sélectionnez la technique pour postériser l'image en fonction du nombre souhaité de grappes.	Seleziona la tecnica per posterizzare l'immagine in base al numero desiderato di cluster.		
^clusters:	Number of colors:	Número de colores:	Nombre de couleurs:	Numero di colori:		
^apply	Apply	Aplicar	Appliquer	Applicare		
^select output color, type of yarns and weave to generate 3D representation of the textile.	Select output color, type of yarns and weave to generate 3D representation of the textile.	Selecciona el color final, el tipo de hilo y ligamento para generar la representación 3D de la tela.	Sélectionnez la couleur de sortie,le type de fils et le tissage pour générer une représentation 3D du textile.	Selezionare il colore di uscita, il tipo di filo e la trama per generare una rappresentazione 3D del tessuto.		
^background Zone:	Background Zone:	Área de fondo:	Zone de fond:	Zone de sfondo		
^pictorial Zones:	Pictorial Zones:	Zonas pictóricas:	Zones picturales:	Zone pittoriche:		
^background	Ground	Fondo	Fond	Sfondo		
^generate 3D	Generate 3D	Generar 3D	Générer 3D	Genera 3D		
^zone {0}	Zone {0}	Área {0}	Zone {0}	Zone {0}		
^original	Original	Original	Original	Originale		
^final	Final	Final	Final	Finale		
^take Snapshot	Take Snapshot	Guarda captura de pantalla	Prendre un instantané	Scatta un'istantanea		
^generate STL File	Generate STL File	Generar fichero STL	Générer fichier STL	Genera file STL		
^PROCESSING...	PROCESSING...	PROCESANDO...	EN TRAITEMENT...	IN LAVORAZIONE...		
^quality	Quality	Calidad	Qualité	Qualità		
^low	Low	Baja	Faible	Bassa		
^med	Med	Media	Moyenne	Media		
^high	High	Alta	Haute	Alta		
^rotate textile	Rotate Textile	Girar textil	Filer le textile	Ruotare il tessuto		
^explode layers	Explode layers	Explotar capas	Exploser les couches	Esplodere i livelli		
^settings	Settings	Ajustes	Paramètres	Impostazioni		
^layers	Layers	Capas	Couches	Strati		
^configure virtualLoom	VirtualLoom Settings	Parámetros de VirtualLoom	Paramètres de VirtualLoom	Impostazioni VirtualLoom		
^explore the 3D model.	Explore the 3D model	Explora el model 3D	Explorez le modèle 3D	Esplora il modello 3D		
^3D View Interaction	3D View Interaction	Interacción sobre la vista 3D	"Interaction sur la visualisation 3D "	Interazione sulla visualizzazione 3D		
^Minimap Interaction	Minimap Interation	Interacción sobre el minimapa	Interaction sur la mini-carte	Interazione sulla minimappa		
^1 - Select Ground Yarn	1 - Select Ground Yarn\nSelect from the list of Pictorial Zones the zone corresponding to the background colour. Click on the box that appears in the image to select the zone. 	1 - Selecciona el hilo de fondo.\nSelecciona del listado de Zonas Pictóricas la zona correspondiente al color de fondo. Pulsa en la casilla que aparece en la imagen para seleccionar la zona. 	1 - Sélectionnez le fil du fond\nSélectionnez dans la liste des zones picturales la zone correspondant à la couleur de fond. Cliquez dans la case qui apparaît dans l'image pour sélectionner la zone.	1 - Selezionare il filo di sfondo.\nSelezionare dall'elenco delle Zone Pittoriche la zona corrispondente al colore di sfondo.Cliccare nella casella che appare nell'immagine per selezionare la zona.  		
^2 - Select  Pictorial Ground Yarn	2 - Select  Pictorial Ground Yarn.\nIn some techniques, it will also be necessary to select the pictorial area that corresponds to the background pattern.	2 - Selecciona el hilo de dibujo de fondo.\nEn algunas técnicas, será necesario también seleccionar la zona pictórica que corresponde al patrón de fondo.	2 - Sélectionnez le fil de fond pictural.\nDans certaines techniques, il sera également nécessaire de sélectionner la zone picturale qui correspond au motif de fond.	2 - Seleziona il filo di sfondo pittoriche.\nIn alcune tecniche, sarà anche necessario selezionare l'area pittorica che corrisponde al modello di sfondo.		
^3 - Modify Yarn Type	3 - Modify Yarn Type.\nUse the drop-down menu to select the type of yarn you want to use for each area. The different techniques have restrictions on the types of yarn that can be selected.	3 - Modifica el tipo de hilo.\nUtiliza el desplegable para seleccionar el tipo de hilo que deseas utilizar para cada zona. Las distintas técnicas tienen restricciones en los tipos de hilos que se pueden seleccionar.	3 - Modifier le type de fil.\nUtilisez le menu déroulant pour sélectionner le type de fil que vous souhaitez utiliser pour chaque zone. Les différentes techniques ont des restrictions sur les types de fils qui peuvent être sélectionnés.	3 - Cambia il tipo di filo.\nUtilizzare il menu a discesa per selezionare il tipo di filo che si desidera utilizzare per ogni zona. Le diverse tecniche hanno delle restrizioni sui tipi di filo che possono essere selezionati.		
^4 - Change output color of the selected yarn	4 - Change output color of the selected yarn.\nThe colour button on the right is used to select the colour of the thread to be used in the 3D visualization.  A colour picker window will appear and the image preview will change when we change the colour.	4 - Modifica el color final del hilo seleccionado.\nEl botón de color de la derecha sirve para seleccionar el color del hilo que queremos utilizar en la visualización 3D.  Aparecerá una ventana de selección de color y la previsualización de la imagen cambiará cuando cambiemos el color.	4 - Modifier la couleur finale du fil sélectionné.\nLe bouton de couleur sur la droite sert à sélectionner la couleur du fil que nous voulons utiliser dans la visualisation 3D.  Une fenêtre de sélection des couleurs apparaîtra et l'aperçu de l'image changera lorsque nous changerons la couleur.	4 - Modifica il colore finale del filo selezionato.\nIl pulsante a colori sulla destra serve a selezionare il colore del filo che vogliamo utilizzare nella visualizzazione 3D.  Apparirà una finestra di selezione del colore e l'anteprima dell'immagine cambierà quando cambieremo il colore. 		
^5 - Change the weave	5 - Change the weave.\nThe Weave button opens a selection window in which the weave to be used can be selected. The various techniques have restrictions on the weaves to be used.	5 - Cambia el ligamento.\nEl botón de ligamento abre una ventana de selección en la que se puede seleccionar el ligamento a utilizar en el tejido. Las distintas técnicas tienen restricciones de los ligamentos a utilizar.	5 - Changer d'armure.\nLe bouton Armure ouvre une fenêtre de sélection dans laquelle vous pouvez choisir l'armure à utiliser dans le tissu. Les différentes techniques ont des restrictions sur les armures à utiliser.	5 - Cambia armatura.\nIl pulsante della armatura apre una finestra di selezione in cui è possibile selezionare la armatura da utilizzare nel tessuto. Le varie tecniche hanno delle restrizioni sui armatura da utilizzare.		
